ID_DATI_TECNICI,ID_OPERAZIONE,ID_FONTE,ID_TIPO_EVENTO,ID_VEICOLO,DATA_DECORRENZA,DATA_CANCELLAZIONE,TARGA,SCADENZA_ATTRIBUITA,TRASPORTO_MERCI,MASSA_COMPLESSIVA,KILO_WATT,PORTATA,FLAG_SOSPENSIONE,NUMERO_POSTI,NUMERO_ASSI,POTENZA_FISCALE,CILINDRATA,FLAG_ECODIESEL,FLAG_GANCIO,MASSA_RIMORCHIABILE,ID_TIPO_COMBUSTIBILE,ID_DESTINAZIONE_VEICOLO,ID_TIPO_CARROZZERIA,ID_TIPO_USO,FLAG_RIMORCHIABILITA,ID_CATEGORIA_EURO,EMISSIONE_CO2,DATA_INSTAL_GPL,DATA_DISINSTAL_GPL,DATA_COLLAUDO_GPL,ID_TIPO_COMBUSTIBILE_GAS,ID_ENTE_CERTIFICATORE_STORICO,COD_ISCRIZ_REGIST_VEIC_STORICO
500163,940000000000163,2,4,300163,2022-08-16,,VE252MZ,12,N,2377,91,2418,N,5,2,29,2140,N,N,1904,1,2,4,4,S,5,208,,,,,,
500164,940000000000164,3,5,300164,2021-03-29,,NG002SE,8,N,12769,88,1517,N,8,1,31,2392,N,N,1731,2,3,5,5,N,5,119,,,,,,
500165,940000000000165,1,1,300165,2018-05-01,,XY483CV,7,N,9154,146,969,N,4,1,21,1467,S,S,1285,2,4,6,1,S,6,124,,,,,,
500166,940000000000166,2,2,300166,2025-04-28,,VA455XU,8,N,3499,134,2121,N,8,1,34,2863,S,N,1451,1,5,7,2,N,3,196,,,,,,
500167,940000000000167,3,3,300167,2023-09-05,,TD403YM,2,N,1961,77,2646,N,2,4,28,1789,N,S,1851,1,6,8,3,N,5,150,,,,,,
500168,940000000000168,1,4,300168,2023-07-03,,MS296WF,7,N,16249,148,771,N,7,3,26,1600,N,S,693,1,1,1,4,N,5,141,,,,,,
500169,940000000000169,2,5,300169,2019-03-27,,NV281CD,6,N,2924,145,1184,N,5,3,17,1286,S,N,1335,4,2,2,5,S,6,107,,,,,,
500170,940000000000170,3,1,300170,2025-09-30,,MT169TY,11,N,1849,199,2615,N,6,1,13,2601,N,N,1250,1,3,3,1,N,5,138,,,,,1,STOR000170
500171,940000000000171,1,2,300171,2022-12-06,,GD350YL,8,N,15350,217,2900,N,7,4,25,1626,S,S,1383,2,4,4,2,N,6,203,,,,2,,
500172,940000000000172,2,3,300172,2025-01-16,,DR469FW,10,N,10852,117,1089,N,2,1,19,2180,N,S,956,2,5,5,3,S,3,221,,,,,,
500173,940000000000173,3,4,300173,2021-09-07,,FJ758LR,9,N,6765,91,2764,N,7,4,13,1515,S,N,597,3,6,6,4,N,4,92,,,,,,
500174,940000000000174,1,5,300174,2021-12-13,,PG993XZ,12,N,16283,181,1623,N,6,3,21,979,N,N,2008,1,1,7,5,N,4,156,,,,,,
500175,940000000000175,2,1,300175,2024-08-30,,MK014DH,3,N,2180,152,2346,N,7,1,28,2948,S,S,1132,1,2,8,1,N,4,228,,,,,,
500176,940000000000176,3,2,300176,2020-12-28,,AM249XX,5,N,1956,88,904,N,7,4,14,2980,S,S,1342,1,3,1,2,S,5,111,,,,,,
500177,940000000000177,1,3,300177,2019-07-20,,VR517RT,8,N,1987,123,2942,N,2,3,35,1888,S,S,1727,1,4,2,3,S,4,192,,,,,,
500178,940000000000178,2,4,300178,2020-10-08,,XN059EU,9,N,4079,79,773,N,5,2,20,1614,S,N,509,3,5,3,4,S,5,189,,,,,,
500179,940000000000179,3,5,300179,2021-06-07,,EA208RN,5,N,15054,70,1283,N,9,1,8,1240,S,S,1473,2,6,4,5,N,4,93,,,,,,
500180,940000000000180,1,1,300180,2022-01-08,,RX452LS,1,N,3541,162,2716,N,5,1,19,1947,N,N,811,4,1,5,1,N,6,66,,,,2,,
500181,940000000000181,2,2,300181,2023-09-23,,VG068UA,1,N,8040,154,710,N,7,2,16,968,S,S,1972,4,2,6,2,S,6,74,,,,,,
500182,940000000000182,3,3,300182,2024-09-02,,MN785HF,10,N,2247,45,1269,N,2,4,16,2102,N,N,1360,2,3,7,3,N,5,138,,,,,,
500183,940000000000183,1,4,300183,2025-06-04,,KR281RF,4,N,2783,197,1645,N,3,1,29,1882,S,N,1681,3,4,8,4,N,6,100,,,,,,
500184,940000000000184,2,5,300184,2019-11-03,,SN883MF,5,N,1739,143,983,N,3,3,13,2903,S,N,2323,1,5,1,5,S,4,187,,,,,,
500185,940000000000185,3,1,300185,2020-03-16,,RJ261UA,1,N,1308,96,1872,N,4,4,16,1934,N,N,2126,1,6,2,1,N,6,237,,,,,,
500186,940000000000186,1,2,300186,2025-01-30,,ST043BZ,6,N,1460,94,187,N,5,3,29,2225,N,S,1785,1,1,3,2,S,4,117,,,,,,
500187,940000000000187,2,3,300187,2020-11-26,,ZL828AF,3,N,1843,121,356,N,3,2,22,1862,N,S,1864,1,2,4,3,N,5,153,,,,,1,STOR000187
500188,940000000000188,3,4,300188,2020-11-12,,MP507ZR,3,N,12492,72,1488,N,5,4,28,2461,S,N,1288,4,3,5,4,S,6,109,,,,,,
500189,940000000000189,1,5,300189,2022-03-20,,BN213JE,8,N,1067,128,945,N,2,1,31,2356,S,N,2475,3,4,6,5,S,4,113,,,,2,,
500190,940000000000190,2,1,300190,2021-07-07,,VY452KE,4,N,2804,67,2283,N,7,4,24,2659,N,N,1421,3,5,7,1,S,5,128,,,,,,
500191,940000000000191,3,2,300191,2018-02-13,,UN684PP,3,N,3636,81,2570,N,6,2,24,1736,S,S,1643,1,6,8,2,N,4,128,,,,,,
500192,940000000000192,1,3,300192,2024-03-01,,EK606XJ,4,N,2992,75,2410,N,6,1,18,2969,N,S,2308,4,1,1,3,N,5,161,,,,,,
500193,940000000000193,2,4,300193,2024-11-26,,KS141EV,3,N,1645,85,2002,N,6,3,25,2696,N,S,2059,4,2,2,4,S,5,102,,,,,,
500194,940000000000194,3,5,300194,2020-08-10,,GN423ZN,6,N,2143,199,313,N,5,3,23,1194,S,N,2257,4,3,3,5,S,4,124,,,,,,
500195,940000000000195,1,1,300195,2021-10-01,,CH406NX,12,N,15403,98,1174,N,6,1,30,1813,N,N,697,3,4,4,1,N,6,223,,,,,,
500196,940000000000196,2,2,300196,2018-10-25,,NZ403TZ,8,N,3091,135,593,N,4,4,34,2517,N,S,1249,3,5,5,2,S,4,117,,,,,,
500197,940000000000197,3,3,300197,2019-06-27,,AB891BF,9,N,1854,122,1537,N,7,2,13,1662,N,N,2184,1,6,6,3,S,5,116,,,,,,
500198,940000000000198,1,4,300198,2022-08-16,,CX609XH,7,N,2780,53,277,N,7,2,18,1794,N,N,667,2,1,7,4,S,3,200,,,,2,,
500199,940000000000199,2,5,300199,2022-09-26,,BA439VX,11,N,1014,214,2889,N,8,1,26,1171,N,S,1139,3,2,8,5,S,4,98,,,,,,
500200,940000000000200,3,1,300200,2021-08-11,,LS123LB,7,N,2926,112,1472,N,5,3,33,1328,N,N,1677,3,3,1,1,S,5,104,,,,,,
500201,940000000000201,1,2,300201,2019-09-27,,BZ394CD,4,N,2138,156,1460,N,8,1,23,2951,N,N,783,1,4,2,2,N,5,88,,,,,,
500202,940000000000202,2,3,300202,2019-04-18,,CA434MC,2,N,3464,82,2480,N,2,2,9,1176,N,S,1798,2,5,3,3,N,5,216,,,,,,
500203,940000000000203,3,4,300203,2018-04-03,,TK936LJ,8,N,3271,155,2930,N,4,3,23,1532,N,N,922,1,6,4,4,S,5,65,,,,,,
500204,940000000000204,1,5,300204,2022-11-16,,CG269VY,12,N,10332,135,2908,N,8,3,25,1879,N,S,2064,3,1,5,5,N,5,132,,,,,1,STOR000204
500205,940000000000205,2,1,300205,2022-12-25,,PC384JT,2,N,2709,131,2652,N,2,1,32,2010,S,N,1206,2,2,6,1,S,4,169,,,,,,
500206,940000000000206,3,2,300206,2023-02-25,,DA630TA,10,N,3356,80,2230,N,6,4,12,1343,S,S,1717,4,3,7,2,N,5,126,,,,,,
500207,940000000000207,1,3,300207,2024-03-12,,GA349MG,2,N,12109,64,2656,N,6,2,15,2172,S,N,921,1,4,8,3,S,6,147,,,,2,,
500208,940000000000208,2,4,300208,2022-05-19,,MC833JY,8,N,3386,54,1032,N,3,1,22,2037,S,N,1914,4,5,1,4,N,4,143,,,,,,
500209,940000000000209,3,5,300209,2020-07-30,,SV360CC,3,N,1125,102,1601,N,8,3,17,1296,S,S,2241,3,6,2,5,N,6,86,,,,,,
500210,940000000000210,1,1,300210,2020-10-08,,FK301AG,10,N,2450,53,1462,N,2,3,19,1895,S,S,1562,1,1,3,1,S,4,114,,,,,,
500211,940000000000211,2,2,300211,2021-05-02,,GU195DC,4,N,2140,108,2004,N,6,4,22,1326,N,S,978,3,2,4,2,S,3,137,,,,,,
500212,940000000000212,3,3,300212,2021-01-18,,PD511BS,6,N,1680,142,2592,N,2,1,27,1142,N,N,1607,4,3,5,3,N,6,142,,,,,,
500213,940000000000213,1,4,300213,2024-06-13,,HD256JY,4,N,2568,68,2055,N,2,2,15,2249,S,S,523,3,4,6,4,N,4,99,,,,,,
500214,940000000000214,2,5,300214,2020-11-21,,CJ807KH,10,N,2931,144,2883,N,2,1,22,2712,S,N,2468,3,5,7,5,N,5,227,,,,,,
500215,940000000000215,3,1,300215,2020-12-05,,UV266XV,4,N,1012,188,1195,N,4,3,12,1992,N,N,1157,3,6,8,1,N,6,195,,,,,,
500216,940000000000216,1,2,300216,2023-01-27,,HV103KX,1,S,9882,90,1115,N,4,2,18,1338,S,S,1439,4,1,1,2,S,4,128,,,,2,,
500217,940000000000217,2,3,300217,2020-05-25,,WT903MA,11,N,1507,133,2678,N,5,3,27,2638,S,N,1035,4,2,2,3,S,6,111,,,,,,
500218,940000000000218,3,4,300218,2022-09-20,,XF090XU,3,N,3184,95,2292,N,2,4,9,2101,N,S,1863,1,3,3,4,N,4,121,,,,,,
500219,940000000000219,1,5,300219,2018-11-29,,HL704XW,3,N,1072,96,992,N,5,1,32,1942,N,S,1889,4,4,4,5,S,6,83,,,,,,
500220,940000000000220,2,1,300220,2023-06-04,,AE666MK,9,N,4914,127,929,N,5,4,35,1952,N,S,1384,1,5,5,1,S,4,65,,,,,,
500221,940000000000221,3,2,300221,2018-02-06,,PN018UJ,4,N,7358,141,448,N,8,3,8,1986,N,S,1150,3,6,6,2,N,3,90,,,,,1,STOR000221
500222,940000000000222,1,3,300222,2021-08-18,,WF868XG,1,N,1404,47,2042,N,2,1,21,1797,S,S,1119,3,1,7,3,S,6,139,,,,,,
500223,940000000000223,2,4,300223,2025-09-25,,JY086DN,7,N,6155,112,2221,N,7,4,30,2094,N,S,987,2,2,8,4,N,5,95,,,,,,
500224,940000000000224,3,5,300224,2019-07-08,,FR622CK,4,N,2679,144,2626,N,5,2,32,1944,S,S,1375,4,3,1,5,S,4,157,,,,,,
500225,940000000000225,1,1,300225,2024-07-24,,RX248FK,4,N,3349,58,1841,N,8,3,24,2228,N,N,1137,1,4,2,1,S,6,133,,,,2,,
500226,940000000000226,2,2,300226,2020-02-11,,SM948FF,9,N,2259,67,2337,N,6,1,9,1134,S,N,1488,1,5,3,2,N,6,208,,,,,,
500227,940000000000227,3,3,300227,2023-07-12,,EL589VV,9,N,2840,128,2199,N,5,3,16,1308,S,S,1167,1,6,4,3,N,5,147,,,,,,
500228,940000000000228,1,4,300228,2023-05-09,,KW685ZP,3,N,1536,86,1301,N,9,1,12,2469,N,N,2397,1,1,5,4,N,4,84,,,,,,
500229,940000000000229,2,5,300229,2023-08-01,,NL312DD,9,N,16251,118,1448,N,8,4,9,1364,N,S,1252,4,2,6,5,N,5,150,,,,,,
500230,940000000000230,3,1,300230,2020-07-14,,FB398GC,7,N,2446,61,803,N,7,2,31,2634,S,S,1302,1,3,7,1,S,3,133,,,,,,
500231,940000000000231,1,2,300231,2024-09-05,,WE310FF,2,S,14197,79,2790,N,8,2,29,995,N,N,2431,3,4,8,2,N,5,80,,,,,,
500232,940000000000232,2,3,300232,2023-05-13,,MH550VT,12,N,1548,56,379,N,3,3,23,2221,S,N,1289,1,5,1,3,S,4,156,,,,,,
500233,940000000000233,3,4,300233,2021-01-09,,JH161XY,3,N,2075,55,2378,N,3,2,17,2945,N,N,2221,1,6,2,4,S,3,103,,,,,,
500234,940000000000234,1,5,300234,2023-07-29,,HX791NA,4,N,1338,113,2350,N,5,3,15,1175,S,N,1920,1,1,3,5,N,4,200,,,,2,,
500235,940000000000235,2,1,300235,2022-11-19,,DS432HW,2,N,16122,76,2193,N,6,2,10,2842,S,S,728,4,2,4,1,N,4,230,,,,,,
500236,940000000000236,3,2,300236,2022-03-30,,PD511EZ,11,N,2513,72,161,N,9,1,19,1215,N,S,1549,3,3,5,2,S,5,106,,,,,,
500237,940000000000237,1,3,300237,2018-03-14,,VN445PV,8,N,10403,159,2512,N,8,1,36,2217,S,S,1937,2,4,6,3,N,6,103,,,,,,
500238,940000000000238,2,4,300238,2019-07-18,,SC003ES,12,N,3483,67,1564,N,9,4,31,2840,S,N,1478,3,5,7,4,N,4,109,,,,,1,STOR000238
500239,940000000000239,3,5,300239,2019-05-22,,FP642ST,11,S,6783,100,857,N,4,1,30,1929,N,N,1925,3,6,8,5,S,6,103,,,,,,
500240,940000000000240,1,1,300240,2025-10-04,,AV909ZL,8,N,1655,103,764,N,6,2,25,1863,S,N,575,3,1,1,1,S,5,106,,,,,,
500241,940000000000241,2,2,300241,2024-12-23,,GU043UU,1,N,1810,128,1633,N,3,1,13,2966,S,N,1324,4,2,2,2,N,5,121,,,,,,
500242,940000000000242,3,3,300242,2019-03-19,,NZ314EE,2,N,1025,218,1503,N,8,4,22,2510,S,N,1555,4,3,3,3,S,4,129,,,,,,
500243,940000000000243,1,4,300243,2025-07-23,,KM262LZ,7,N,5343,67,674,N,2,3,29,2975,N,S,1140,4,4,4,4,S,6,111,,,,2,,
500244,940000000000244,2,5,300244,2024-11-21,,JE840UL,11,N,2373,84,1031,N,4,2,30,1445,N,S,2268,3,5,5,5,N,5,103,,,,,,
500245,940000000000245,3,1,300245,2022-05-27,,HT037CA,10,N,2409,49,2928,N,7,1,9,1312,N,N,2309,4,6,6,1,S,3,131,,,,,,
500246,940000000000246,1,2,300246,2018-01-01,,HT517PT,7,N,1939,56,2693,N,6,4,24,1022,S,S,543,4,1,7,2,N,6,217,,,,,,
500247,940000000000247,2,3,300247,2019-03-06,,AD212VP,8,N,5161,111,1795,N,7,3,13,1534,S,S,1948,4,2,8,3,S,5,193,,,,,,
500248,940000000000248,3,4,300248,2024-09-24,,VX013PJ,3,N,2996,50,2083,N,9,1,28,2780,N,S,1015,1,3,1,4,S,5,127,,,,,,
500249,940000000000249,1,5,300249,2024-01-09,,KJ253MV,10,N,6578,95,515,N,3,1,10,2966,S,N,1253,4,4,2,5,N,5,199,,,,,,
500250,940000000000250,2,1,300250,2019-08-25,,RG530CK,6,N,1683,136,2898,N,8,3,29,1829,N,N,1733,2,5,3,1,S,4,159,,,,,,
500251,940000000000251,3,2,300251,2022-05-04,,AA383YV,4,N,1031,144,459,N,8,1,30,956,N,S,2278,1,6,4,2,S,5,197,,,,,,
500252,940000000000252,1,3,300252,2018-07-14,,BY119HH,6,N,1840,121,518,N,5,4,31,933,S,N,1536,4,1,5,3,S,3,193,,,,2,,
500253,940000000000253,2,4,300253,2020-05-29,,NK134SC,3,N,2435,90,480,N,2,4,36,2627,N,S,1900,1,2,6,4,S,6,138,,,,,,
500254,940000000000254,3,5,300254,2019-11-15,,UY172AA,6,N,5241,55,2700,N,7,1,17,1377,N,N,1029,3,3,7,5,N,4,214,,,,,,
500255,940000000000255,1,1,300255,2018-08-08,,ZX683EY,7,N,2625,140,2509,N,8,2,34,2697,S,S,900,3,4,8,1,N,6,123,,,,,1,STOR000255
500256,940000000000256,2,2,300256,2024-08-17,,HK440BM,10,N,11207,63,531,N,7,3,12,1544,N,N,640,3,5,1,2,S,4,123,,,,,,
500257,940000000000257,3,3,300257,2019-11-26,,DU970YE,4,N,2540,94,2031,N,6,1,33,910,S,N,2450,3,6,2,3,N,5,130,,,,,,
500258,940000000000258,1,4,300258,2022-12-29,,TM382KC,5,N,1989,91,1046,N,7,4,34,2259,N,N,1411,3,1,3,4,S,6,134,,,,,,
500259,940000000000259,2,5,300259,2020-03-12,,GK142VJ,3,N,3208,88,2567,N,6,1,29,2113,S,S,675,4,2,4,5,N,4,117,,,,,,
500260,940000000000260,3,1,300260,2024-10-04,,AV400YW,3,N,1211,143,1413,N,6,3,14,1942,S,S,1592,2,3,5,1,N,6,156,,,,,,
500261,940000000000261,1,2,300261,2021-08-09,,CU583BE,4,N,1730,81,1843,N,7,4,29,2003,N,N,2475,3,4,6,2,N,6,67,,,,2,,
500262,940000000000262,2,3,300262,2023-07-20,,PL412YZ,8,N,1386,96,1945,N,6,2,18,1870,N,N,874,1,5,7,3,N,4,113,,,,,,
500263,940000000000263,3,4,300263,2025-05-08,,XN314ET,1,N,2158,161,2123,N,4,4,16,2499,S,S,1782,4,6,8,4,N,6,231,,,,,,
500264,940000000000264,1,5,300264,2025-11-15,,SH744JH,6,N,966,156,1517,N,7,3,9,2804,S,N,1855,4,1,1,5,N,6,154,,,,,,
500265,940000000000265,2,1,300265,2024-10-24,,SJ584AM,9,N,1133,134,2326,N,9,3,22,1360,S,S,1975,2,2,2,1,S,4,150,,,,,,
500266,940000000000266,3,2,300266,2024-11-08,,KV991DC,6,N,2315,47,2998,N,4,4,23,923,N,N,827,1,3,3,2,N,6,97,,,,,,
500267,940000000000267,1,3,300267,2025-01-14,,TK401KK,5,N,2852,123,259,N,2,3,36,1716,S,S,1469,4,4,4,3,S,4,156,,,,,,
500268,940000000000268,2,4,300268,2025-07-22,,PK435WT,12,N,1549,77,2098,N,8,3,27,1657,S,N,2171,3,5,5,4,S,4,98,,,,,,
500269,940000000000269,3,5,300269,2019-01-21,,UP120PC,2,N,2223,130,570,N,6,2,22,1627,S,S,1811,3,6,6,5,S,5,106,,,,,,
500270,940000000000270,1,1,300270,2024-04-08,,RP115VA,1,N,2828,116,1586,N,5,3,14,1113,S,S,671,2,1,7,1,S,6,218,,,,2,,
500271,940000000000271,2,2,300271,2025-01-17,,NN381YC,3,N,3367,118,2214,N,5,1,30,2080,N,S,1591,3,2,8,2,S,4,104,,,,,,
500272,940000000000272,3,3,300272,2020-03-03,,HX060NF,12,N,982,100,2010,N,6,2,34,2507,S,S,1698,3,3,1,3,S,5,94,,,,,1,STOR000272
500273,940000000000273,1,4,300273,2025-02-08,,UE427RJ,9,N,1794,208,1140,N,7,1,33,1808,S,N,1416,1,4,2,4,S,6,114,,,,,,
500274,940000000000274,2,5,300274,2019-03-30,,LR710AB,7,N,12727,105,2631,N,8,3,15,1041,S,N,923,2,5,3,5,N,4,211,,,,,,
500275,940000000000275,3,1,300275,2022-10-17,,PV184US,1,N,3088,132,2073,N,2,2,36,2136,N,N,1356,3,6,4,1,S,5,155,,,,,,
500276,940000000000276,1,2,300276,2021-07-07,,ER266DC,12,N,10060,111,2346,N,8,2,27,2422,S,S,1305,4,1,5,2,N,5,222,,,,,,
500277,940000000000277,2,3,300277,2024-08-24,,XJ338PR,7,N,9667,166,629,N,4,2,8,2524,S,S,839,4,2,6,3,S,6,65,,,,,,
500278,940000000000278,3,4,300278,2020-01-12,,EA039UJ,11,N,3410,66,567,N,3,2,19,2818,S,S,884,2,3,7,4,S,6,96,,,,,,
500279,940000000000279,1,5,300279,2018-12-27,,NY763XP,11,N,3636,81,2337,N,4,3,26,2828,N,S,1970,1,4,8,5,S,6,101,,,,2,,
500280,940000000000280,2,1,300280,2025-07-02,,FL234ZY,5,N,2503,52,1565,N,9,1,19,2861,N,S,967,1,5,1,1,N,6,107,,,,,,
500281,940000000000281,3,2,300281,2025-04-01,,WS361FW,12,N,1224,70,940,N,7,3,14,1033,S,N,619,4,6,2,2,S,3,190,,,,,,
500282,940000000000282,1,3,300282,2023-11-04,,PB623KT,5,N,3214,189,1194,N,6,3,14,1709,N,N,845,4,1,3,3,S,6,91,,,,,,
500283,940000000000283,2,4,300283,2020-10-30,,RU903FR,4,N,2853,78,1487,N,9,1,36,2345,S,N,1874,1,2,4,4,S,6,223,,,,,,
500284,940000000000284,3,5,300284,2025-04-13,,XK459HJ,3,N,1311,48,2417,N,5,2,28,2234,S,S,986,2,3,5,5,N,5,169,,,,,,
500285,940000000000285,1,1,300285,2024-09-16,,FK113PA,3,N,3095,191,2312,N,6,3,30,1022,S,N,1919,1,4,6,1,N,6,140,,,,,,
500286,940000000000286,2,2,300286,2023-06-10,,HK084TR,5,N,5267,117,2307,N,3,3,14,2733,N,S,1492,3,5,7,2,S,5,138,,,,,,
500287,940000000000287,3,3,300287,2025-01-05,,ED917KJ,5,N,3272,71,1419,N,5,2,24,2687,S,S,645,2,6,8,3,N,6,124,,,,,,
500288,940000000000288,1,4,300288,2020-07-13,,EU492VK,10,N,1514,92,1337,N,2,2,36,2484,N,N,2417,3,1,1,4,S,4,211,,,,2,,
500289,940000000000289,2,5,300289,2025-04-07,,PK028AR,5,N,14035,95,1871,N,5,4,33,1406,N,S,2276,1,2,2,5,N,5,133,,,,,1,STOR000289
500290,940000000000290,3,1,300290,2019-05-24,,XK739GY,9,N,13995,80,2915,N,7,2,22,1659,S,N,1107,3,3,3,1,S,5,218,,,,,,
500291,940000000000291,1,2,300291,2021-05-29,,GZ648JW,3,N,7801,56,2325,N,5,1,34,2803,N,N,1700,4,4,4,2,S,6,191,,,,,,
500292,940000000000292,2,3,300292,2019-08-24,,SH573LS,8,N,3032,46,2531,N,3,2,26,1349,S,N,1300,4,5,5,3,N,5,236,,,,,,
500293,940000000000293,3,4,300293,2019-06-11,,JG587NM,4,N,1038,49,1698,N,5,3,19,1134,N,N,1547,4,6,6,4,S,4,146,,,,,,
500294,940000000000294,1,5,300294,2023-04-07,,UD076MX,5,N,10661,121,2844,N,5,4,31,2756,N,S,721,1,1,7,5,S,5,162,,,,,,
500295,940000000000295,2,1,300295,2022-05-07,,DF035PW,12,N,10470,220,1937,N,7,4,19,2381,S,S,1946,1,2,8,1,N,6,78,,,,,,
500296,940000000000296,3,2,300296,2025-07-24,,KL516HJ,2,N,1034,83,2237,N,4,3,12,2867,N,S,1498,1,3,1,2,S,6,233,,,,,,
500297,940000000000297,1,3,300297,2023-08-05,,CB495DW,11,N,1854,142,2575,N,6,2,27,967,N,N,1735,3,4,2,3,N,6,125,,,,2,,
500298,940000000000298,2,4,300298,2019-08-30,,RJ967SV,1,S,10901,61,1693,N,7,1,19,2302,S,S,2281,4,5,3,4,N,6,97,,,,,,
500299,940000000000299,3,5,300299,2023-08-05,,KP356ZZ,4,N,1682,82,2850,N,5,3,28,1914,S,N,947,3,6,4,5,N,4,98,,,,,,
500300,940000000000300,1,1,300300,2022-03-24,,PU403VT,8,N,14488,144,1720,N,2,3,35,2889,S,S,2268,2,1,5,1,S,5,206,,,,,,
500301,940000000000301,2,2,300301,2022-03-01,,ZH908SN,10,N,1669,128,933,N,3,1,22,2512,N,N,2136,3,2,6,2,N,4,102,,,,,,
500302,940000000000302,3,3,300302,2025-12-09,,YP831NS,9,N,922,58,726,N,5,1,36,2570,S,S,1131,4,3,7,3,N,5,91,,,,,,
500303,940000000000303,1,4,300303,2022-06-06,,DH753UD,8,N,2082,62,2338,N,5,2,26,939,S,S,2208,4,4,8,4,S,4,204,,,,,,
500304,940000000000304,2,5,300304,2024-05-06,,EU164YP,6,N,3340,58,610,N,7,4,26,2447,S,N,944,4,5,1,5,N,5,115,,,,,,
500305,940000000000305,3,1,300305,2018-04-18,,UU406UG,4,N,1003,92,2225,N,9,4,13,2628,N,S,2473,1,6,2,1,S,4,198,,,,,,
500306,940000000000306,1,2,300306,2021-11-01,,GC062UW,4,N,3460,66,799,N,2,1,31,1718,S,N,2032,3,1,3,2,S,5,109,,,,2,1,STOR000306
500307,940000000000307,2,3,300307,2025-10-27,,XD859PJ,10,N,953,159,2241,N,4,1,15,1759,N,N,1255,4,2,4,3,N,4,141,,,,,,
500308,940000000000308,3,4,300308,2023-04-14,,NM781SR,7,N,8074,92,1118,N,8,4,22,2113,N,N,1886,1,3,5,4,S,6,108,,,,,,
500309,940000000000309,1,5,300309,2023-01-20,,HZ661SU,9,N,1767,97,979,N,4,1,17,971,S,N,657,1,4,6,5,N,5,129,,,,,,
500310,940000000000310,2,1,300310,2022-12-31,,TR499KZ,6,N,1096,160,2809,N,6,3,33,1407,N,S,2333,4,5,7,1,S,6,92,,,,,,
500311,940000000000311,3,2,300311,2021-10-26,,UZ140KU,1,N,2922,130,2037,N,6,2,22,2294,N,S,932,1,6,8,2,S,5,96,,,,,,
500312,940000000000312,1,3,300312,2024-05-27,,ZD439XS,4,N,1938,171,2790,N,2,4,26,2274,S,N,1755,2,1,1,3,S,6,166,,,,,,
500313,940000000000313,2,4,300313,2021-01-03,,MT996CS,9,N,2615,149,730,N,2,2,31,2188,S,N,1011,1,2,2,4,N,6,71,,,,,,
500314,940000000000314,3,5,300314,2022-11-29,,PK404GJ,10,N,1273,147,447,N,2,3,18,933,S,S,674,1,3,3,5,S,6,104,,,,,,
500315,940000000000315,1,1,300315,2025-01-29,,EN081RF,12,N,3316,143,2245,N,8,4,15,2885,N,N,2196,2,4,4,1,N,3,209,,,,2,,
500316,940000000000316,2,2,300316,2021-07-02,,TK477RW,2,N,2681,55,603,N,5,4,21,1223,N,N,2351,2,5,5,2,S,4,152,,,,,,
500317,940000000000317,3,3,300317,2021-03-18,,YC265MP,12,N,1713,137,1090,N,4,1,9,937,S,S,1860,1,6,6,3,S,4,124,,,,,,
500318,940000000000318,1,4,300318,2022-04-18,,RK097PG,11,N,4558,79,1615,N,2,3,17,2931,N,N,1459,3,1,7,4,S,5,103,,,,,,
500319,940000000000319,2,5,300319,2025-02-27,,XR424JG,11,N,3286,180,1934,N,9,2,18,1770,S,S,1241,1,2,8,5,S,6,213,,,,,,
500320,940000000000320,3,1,300320,2018-03-17,,ND549RP,5,N,16219,93,586,N,7,2,28,2708,S,N,1857,3,3,1,1,S,6,78,,,,,,
500321,940000000000321,1,2,300321,2022-07-01,,SS173MU,1,N,2573,164,1206,N,8,2,36,1821,N,S,1457,3,4,2,2,S,6,143,,,,,,
500322,940000000000322,2,3,300322,2023-09-02,,SG254KW,5,N,1866,55,2700,N,4,1,15,1735,S,S,901,4,5,3,3,S,4,180,,,,,,
500323,940000000000323,3,4,300323,2019-07-12,,HZ478CG,11,N,1232,68,1304,N,7,1,8,1781,N,S,2420,1,6,4,4,S,4,86,,,,,1,STOR000323
500324,940000000000324,1,5,300324,2025-03-27,,ZB959NM,5,N,1495,73,2719,N,2,2,15,2533,S,N,748,4,1,5,5,S,5,235,,,,2,,
500325,940000000000325,2,1,300325,2024-06-04,,WS846CR,6,N,2851,55,633,N,7,3,20,1172,N,N,1498,3,2,6,1,S,4,104,,,,,,
500326,940000000000326,3,2,300326,2019-09-18,,GT364ZN,3,N,1409,134,1951,N,8,4,18,1145,N,N,2409,3,3,7,2,S,6,174,,,,,,
500327,940000000000327,1,3,300327,2020-11-16,,YN124TL,3,N,1531,97,1921,N,5,2,36,1914,S,N,1742,1,4,8,3,S,6,132,,,,,,
500328,940000000000328,2,4,300328,2020-10-17,,UY928SP,8,N,2265,148,797,N,2,2,24,2523,N,N,1439,2,5,1,4,N,6,105,,,,,,
500329,940000000000329,3,5,300329,2020-10-03,,EG412EY,1,N,7806,80,2399,N,2,3,36,1417,S,S,770,3,6,2,5,N,4,152,,,,,,
500330,940000000000330,1,1,300330,2019-02-26,,HC932FV,12,N,2955,87,870,N,4,4,9,1778,N,N,847,4,1,3,1,S,3,176,,,,,,
